st_code,cfra_code,major_head,year,vol,amt
27,221005911,2210,2005,3,-1.1
30,203900911,2039,2006,3,-1.09
30,221080911,2210,2005,3,-1.07
27,204000911,2040,2006,3,-1.07
34,204000911,2040,2006,3,-1.06
32,270202911,2702,2006,2,-1.05
10,205500911,2055,2005,3,-1.04
27,204500911,2045,2005,3,-1.03
30,201102911,2011,2005,3,-1.02
28,222502911,2225,2006,3,-1
10,201400911,2014,2006,3,-1
30,205901911,2059,2006,3,-1
21,240100911,2401,2006,2,-1
21,285100911,2851,2006,2,-1
32,221701911,2217,2006,3,-0.98
19,270201102,2702,2006,2,-0.98
32,205100911,2051,2006,3,-0.96
18,305480799,3054,2005,2,-0.94
32,221705911,2217,2006,3,-0.94
27,207101911,2071,2006,3,-0.94
30,305500911,3055,2005,2,-0.93
27,205300911,2053,2006,3,-0.93
11,240801911,2408,2006,2,-0.92
33,288502911,2885,2006,2,-0.91
30,201203911,2012,2006,3,-0.9
32,222060911,2220,2005,3,-0.9
11,345100911,3451,2005,2,-0.88
32,207000911,2070,2005,3,-0.85
34,240500911,2405,2005,2,-0.84
34,221601911,2216,2005,3,-0.84
30,221003911,2210,2006,3,-0.84
